"loadcel","timestamp","current_weight_history","remaining_sec_history"
"1","2025-07-10T16:21:40.434284+09:00","81.72813","22.93711"
"1","2025-07-10T16:21:41.221983+09:00","81.23392","22.81001"
"1","2025-07-10T16:21:42.791056+09:00","80.95936","22.75129"
"1","2025-07-10T16:21:43.554302+09:00","79.91602","22.46521"
"1","2025-07-10T16:21:45.091043+09:00","80.63446","22.67956"
"1","2025-07-10T16:21:45.844387+09:00","80.8541","22.7527"
"1","2025-07-10T16:21:46.583391+09:00","79.65976","22.42262"
"1","2025-07-10T16:21:48.072369+09:00","79.88857","22.5096"
"1","2025-07-10T16:21:48.858219+09:00","79.10148","22.30114"
"1","2025-07-10T16:21:50.383669+09:00","78.90013","22.27287"
"1","2025-07-10T16:21:51.152430+09:00","78.30067","22.11853"
"1","2025-07-10T16:21:51.907879+09:00","78.24576","22.12218"
"1","2025-07-10T16:21:53.467022+09:00","77.19785","21.85702"
"1","2025-07-10T16:21:54.224919+09:00","76.96447","21.80603"
"1","2025-07-10T16:21:54.961502+09:00","77.01023","21.83521"
"1","2025-07-10T16:21:56.452794+09:00","75.97605","21.57008"
"1","2025-07-10T16:21:57.212381+09:00","75.79758","21.53481"
"1","2025-07-10T16:21:58.749698+09:00","75.1249","21.37782"
"1","2025-07-10T16:21:59.547678+09:00","75.06999","21.38032"
"1","2025-07-10T16:22:00.305383+09:00","74.72221","21.29973"
"1","2025-07-10T16:22:01.815521+09:00","73.93056","21.10807"
"1","2025-07-10T16:22:02.581556+09:00","73.69718","21.05674"
"1","2025-07-10T16:22:04.085303+09:00","72.90095","20.8636"
"1","2025-07-10T16:22:04.856491+09:00","73.14348","20.95203"
"1","2025-07-10T16:22:05.625836+09:00","72.37927","20.75141"
"1","2025-07-10T16:22:07.129749+09:00","72.23741","20.74606"
"1","2025-07-10T16:22:07.888610+09:00","71.26272","20.47892"
"1","2025-07-10T16:22:09.408405+09:00","70.76851","20.37248"
"1","2025-07-10T16:22:10.168779+09:00","70.42988","20.29386"
"1","2025-07-10T16:22:10.927263+09:00","68.43472","19.72924"
"1","2025-07-10T16:22:12.450278+09:00","67.89933","19.59346"
"1","2025-07-10T16:22:13.210598+09:00","68.13271","19.67301"
"1","2025-07-10T16:22:14.745818+09:00","68.0778","19.68463"
"1","2025-07-10T16:22:15.514487+09:00","67.29529","19.47299"
"1","2025-07-10T16:22:16.267348+09:00","67.6568","19.59556"
"1","2025-07-10T16:22:17.812949+09:00","66.81023","19.37437"
"1","2025-07-10T16:22:18.557535+09:00","65.96366","19.14027"
"1","2025-07-10T16:22:20.091936+09:00","66.014","19.18082"
"1","2025-07-10T16:22:20.853458+09:00","65.16743","18.94619"
"1","2025-07-10T16:22:21.648556+09:00","64.66865","18.81173"
"1","2025-07-10T16:22:23.155208+09:00","64.6","18.8153"
"1","2025-07-10T16:22:23.895276+09:00","63.60242","18.53632"
"1","2025-07-10T16:22:25.380629+09:00","63.54752","18.54392"
"1","2025-07-10T16:22:26.127560+09:00","63.54752","18.55628"
"1","2025-07-10T16:22:26.896285+09:00","63.38278","18.52146"
"1","2025-07-10T16:22:28.421319+09:00","63.40108","18.55813"
"1","2025-07-10T16:22:29.158501+09:00","62.88856","18.42448"
"1","2025-07-10T16:22:29.910933+09:00","62.60027","18.35473"
"1","2025-07-10T16:22:31.547182+09:00","61.03069","17.92127"
"1","2025-07-10T16:22:32.343451+09:00","61.85437","18.18017"
"1","2025-07-10T16:22:33.844116+09:00","61.20458","18.01876"
"1","2025-07-10T16:22:34.587745+09:00","58.16608","17.12951"
"1","2025-07-10T16:22:35.352169+09:00","58.73352","17.30465"
"1","2025-07-10T16:22:36.894060+09:00","59.62584","17.59042"
"1","2025-07-10T16:22:37.662657+09:00","59.214","17.48115"
"1","2025-07-10T16:22:39.190605+09:00","59.25518","17.51916"
"1","2025-07-10T16:22:39.944887+09:00","57.44307","16.99277"
"1","2025-07-10T16:22:40.695349+09:00","55.9467","16.55623"
"1","2025-07-10T16:22:42.225814+09:00","57.81831","17.20392"
"1","2025-07-10T16:22:42.967703+09:00","57.22799","17.04132"
"1","2025-07-10T16:22:44.464843+09:00","56.38143","16.8138"
"1","2025-07-10T16:22:45.215468+09:00","56.03823","16.7221"
"1","2025-07-10T16:22:45.992923+09:00","56.4455","16.85763"
"1","2025-07-10T16:22:47.486596+09:00","55.81857","16.69905"
"1","2025-07-10T16:22:48.228629+09:00","55.59435","16.64804"
"1","2025-07-10T16:22:49.770661+09:00","54.79354","16.43936"
"1","2025-07-10T16:22:50.524118+09:00","54.37712","16.33038"
"1","2025-07-10T16:22:51.271211+09:00","54.25814","16.31013"
"1","2025-07-10T16:22:52.993697+09:00","53.09583","15.99055"
"1","2025-07-10T16:22:53.749981+09:00","53.03176","15.98673"
"1","2025-07-10T16:22:54.627915+09:00","52.88533","15.95445"
"1","2025-07-10T16:22:56.137173+09:00","51.84657","15.66374"
"1","2025-07-10T16:22:56.890817+09:00","52.06622","15.74599"
"1","2025-07-10T16:22:57.678249+09:00","52.09825","15.77198"
"1","2025-07-10T16:22:59.194454+09:00","51.57658","15.64379"
"1","2025-07-10T16:22:59.991697+09:00","50.74832","15.40706"
"1","2025-07-10T16:23:00.747196+09:00","50.88102","15.46294"
"1","2025-07-10T16:23:02.275688+09:00","50.428","15.35532"
"1","2025-07-10T16:23:04.092814+09:00","49.71871","15.15485"
"1","2025-07-10T16:23:05.589161+09:00","48.93163","14.94298"
"1","2025-07-10T16:23:06.364406+09:00","49.014","14.98344"
"1","2025-07-10T16:23:07.123174+09:00","48.4603","14.82783"
"1","2025-07-10T16:23:08.613713+09:00","47.87914","14.67898"
"1","2025-07-10T16:23:09.379406+09:00","47.61373","14.6111"
"1","2025-07-10T16:23:10.905366+09:00","47.42611","14.583"
"1","2025-07-10T16:23:11.643268+09:00","46.79004","14.40275"
"1","2025-07-10T16:23:12.386724+09:00","46.4926","14.32444"
"1","2025-07-10T16:23:13.890126+09:00","45.85653","14.15886"
"1","2025-07-10T16:23:14.691034+09:00","45.61858","14.09865"
"1","2025-07-10T16:23:16.184293+09:00","44.87268","13.89304"
"1","2025-07-10T16:23:16.964275+09:00","45.33028","14.04911"
"1","2025-07-10T16:23:17.719971+09:00","43.97578","13.64048"
"1","2025-07-10T16:23:19.224970+09:00","43.83849","13.6263"
"1","2025-07-10T16:23:19.968236+09:00","43.6646","13.58504"
"1","2025-07-10T16:23:21.513567+09:00","43.57309","13.58579"
"1","2025-07-10T16:23:22.275186+09:00","43.30767","13.51699"
"1","2025-07-10T16:23:23.025127+09:00","42.9965","13.43479"
"1","2025-07-10T16:23:24.545160+09:00","42.03553","13.16485"
"1","2025-07-10T16:23:25.287753+09:00","42.39704","13.29448"
"1","2025-07-10T16:23:26.807874+09:00","41.68318","13.0994"
"1","2025-07-10T16:23:27.594141+09:00","40.96016","12.88696"
"1","2025-07-10T16:23:28.346347+09:00","41.30337","13.00981"
"1","2025-07-10T16:23:29.892673+09:00","40.42934","12.76335"
"1","2025-07-10T16:23:30.652345+09:00","39.91682","12.61595"
"1","2025-07-10T16:23:33.210225+09:00","39.23042","12.42923"
"1","2025-07-10T16:23:33.974431+09:00","39.22127","12.44025"
"1","2025-07-10T16:23:34.739269+09:00","38.6218","12.26503"
"1","2025-07-10T16:23:36.240170+09:00","38.6996","12.31853"
"1","2025-07-10T16:23:36.991097+09:00","37.93997","12.09099"
"1","2025-07-10T16:23:38.492329+09:00","37.95828","12.12699"
"1","2025-07-10T16:23:39.269140+09:00","37.21696","11.90404"
"1","2025-07-10T16:23:40.023608+09:00","37.50068","12.0107"
"1","2025-07-10T16:23:41.529880+09:00","36.7319","11.79336"
"1","2025-07-10T16:23:42.303411+09:00","36.80969","11.83487"
"1","2025-07-10T16:23:43.810459+09:00","36.28345","11.69386"
"1","2025-07-10T16:23:44.577402+09:00","36.0821","11.64463"
"1","2025-07-10T16:23:45.355853+09:00","35.79381","11.56655"
"1","2025-07-10T16:23:46.867519+09:00","35.43688","11.48422"
"1","2025-07-10T16:23:47.650697+09:00","35.71144","11.59034"
"1","2025-07-10T16:23:48.437498+09:00","35.414","11.51251"
"1","2025-07-10T16:23:49.968555+09:00","35.06164","11.43456"
"1","2025-07-10T16:23:50.717205+09:00","35.10283","11.46684"
"1","2025-07-10T16:23:52.218269+09:00","34.48964","11.30396"
"1","2025-07-10T16:23:53.008899+09:00","34.39354","11.29171"
"1","2025-07-10T16:23:53.770280+09:00","34.54913","11.36295"
"1","2025-07-10T16:23:55.330233+09:00","34.06864","11.24661"
"1","2025-07-10T16:23:56.128515+09:00","33.95882","11.23157"
"1","2025-07-10T16:23:57.640729+09:00","33.63849","11.16846"
"1","2025-07-10T16:23:58.383217+09:00","33.72544","11.22041"
"1","2025-07-10T16:23:59.128577+09:00","33.68883","11.22482"
"1","2025-07-10T16:24:00.689379+09:00","33.3502","11.15225"
"1","2025-07-10T16:24:01.476672+09:00","33.15801","11.10952"
"1","2025-07-10T16:24:02.980333+09:00","33.04361","11.11667"
"1","2025-07-10T16:24:03.734951+09:00","33.25868","11.21204"
"1","2025-07-10T16:24:04.517795+09:00","33.2358","11.22492"
"1","2025-07-10T16:24:07.135510+09:00","32.65922","11.0671"
"1","2025-07-10T16:24:07.894189+09:00","32.50821","11.03467"
"1","2025-07-10T16:24:08.642895+09:00","32.55397","11.0715"
"1","2025-07-10T16:24:10.149256+09:00","32.24738","11.00713"
"1","2025-07-10T16:24:10.928238+09:00","32.06891","10.96644"
"1","2025-07-10T16:24:12.464013+09:00","32.52652","11.16929"
"1","2025-07-10T16:24:13.221760+09:00","31.98197","11.00498"
"1","2025-07-10T16:24:13.957081+09:00","32.43957","11.18831"
"1","2025-07-10T16:24:15.459030+09:00","32.41669","11.23088"
"1","2025-07-10T16:24:16.209443+09:00","31.5747","10.96272"
"1","2025-07-10T16:24:17.749292+09:00","32.06891","11.18268"
"1","2025-07-10T16:24:18.514228+09:00","31.89502","11.14798"
"1","2025-07-10T16:24:19.264636+09:00","30.95693","10.84236"
"1","2025-07-10T16:24:20.837404+09:00","30.85626","10.85872"
